from ,to
F002S136,F002
F002S140,F002
F005S067,F005
F002S151,F002
F002S155,F002
F002S164,F002
F002S176,F002
F002S179,F002
F002S180,F002
F005S075,F005
F005,A000
F005S077,F005
F006,A000
F007,A000
F005S080,F005
F002S185,F002
F002S224,F002
F005S085,F005
F005S086,F005
F005S087,F005
F005S088,F005
F002S225,F002
F002S236,F002
F005S092,F005
F005S093,F005
F005S094,F005
F005S095,F005
F002S237,F002
F002S240,F002
F002S258,F002
F005S098,F005
F003S037,F003
F003S041,F003
F001S006,F001
F001S017,F001
F005S103,F005
F005S104,F005
F001S117,F001
F001S124,F001
F005S108,F005
F003S061,F003
F005S110,F005
F005S111,F005
F005S112,F005
F001S164,F001
F005S115,F005
F003S066,F003
F001S246,F001
F003S073,F003
F006S002,F006
F006S003,F006
F003S084,F003
F006S005,F006
F006S006,F006
F006S007,F006
F003S098,F003
F005S001,F005
F005S002,F005
F006S011,F006
F006S012,F006
F006S013,F006
F005S003,F005
F005S011,F005
F006S016,F006
F006S017,F006
F006S018,F006
F006S019,F006
F006S020,F006
F006S021,F006
F006S022,F006
F006S023,F006
F005S012,F005
F005S013,F005
F006S025,F006
F005S015,F005
F006S027,F006
F006S028,F006
F006S029,F006
F005S032,F005
F006S031,F006
F006S032,F006
F005S034,F005
F006S034,F006
F006S035,F006
F006S036,F006
F005S036,F005
F006S038,F006
F005S040,F005
F005S048,F005
F006S040,F006
F005S050,F005
F006S042,F006
F006S043,F006
F003S107,F003
F006S045,F006
F006S047,F006
F003S116,F003
F003S120,F003
F003S129,F003
F006S051,F006
F006S052,F006
F003S131,F003
F006S055,F006
F003S132,F003
F006S057,F006
F003S143,F003
F003S149,F003
F003S156,F003
F006S061,F006
F006S062,F006
F005S059,F005
F005S066,F005
F003S161,F003
F006S066,F006
F006S067,F006
F006S069,F006
F006S070,F006
F003S168,F003
F005S069,F005
F003S169,F003
F005S074,F005
F006S076,F006
F005S078,F005
F005S079,F005
F006S080,F006
F003S180,F003
F005S083,F005
F006S083,F006
F005S100,F005
F003S194,F003
F006S086,F006
F003S201,F003
F003S223,F003
F003S227,F003
F004S024,F004
F006S091,F006
F006S092,F006
F004S030,F004
F004S031,F004
F006S095,F006
F004S033,F004
F006S097,F006
F006S098,F006
F006S099,F006
F004S053,F004
F006S101,F006
F006S102,F006
F005S101,F005
F005S102,F005
F004S062,F004
F004S085,F004
F006S106,F006
F006S107,F006
F004S109,F004
F004S121,F004
F004S127,F004
F005S105,F005
F007S001,F007
F007S002,F007
F007S005,F007
F007S007,F007
F007S008,F007
F005S107,F005
F007S010,F007
F007S012,F007
F007S013,F007
F007S014,F007
F007S015,F007
F007S016,F007
F007S017,F007
F007S018,F007
F005S114,F005
F006S000,F006
F007S022,F007
F007S023,F007
F006S001,F006
F007S028,F007
F007S029,F007
F007S030,F007
F006S004,F006
F007S032,F007
F006S008,F006
F007S034,F007
F007S036,F007
F007S038,F007
F007S039,F007
F007S041,F007
F007S042,F007
F007S043,F007
F007S044,F007
F007S045,F007
F007S046,F007
F007S048,F007
F006S009,F006
F007S050,F007
F006S010,F006
F007S054,F007
F007S056,F007
F007S058,F007
F006S014,F006
F007S061,F007
F004S134,F004
F007S063,F007
F007S065,F007
F004S170,F004
F007S068,F007
F007S070,F007
F006S026,F006
F007S072,F007
F007S073,F007
F007S079,F007
F006S033,F006
F004S172,F004
F004S175,F004
F008S012,F008
